"context","source","target"
"AttackingDescription","The creature is attacking its target."
"AttackingTitle","Attacking"
"IdleDescription","The creature is not doing anything in particular."
"IdleTitle","Idle"
"InterceptingDescription","The creature has spotted a target and is moving towards it."
"InterceptingTitle","Intercepting"
"InvestigatingDescription","The creature is investigating a source of disturbance (noise, light)."
"InvestigatingTitle","Investigating"
"MovingDescription","The creature is going somewhere."
"MovingTitle","Moving"
"NoBehaviorDescription","The creature is doing nothing or its initial state has not been launched."
"NoBehaviorTitle","No Behavior"
"PlanningDescription","The creature is planning its next action."
"PlanningTitle","Planning"
"SneakingDescription","The character is trying to be stealthy."
"SneakingTitle","Sneaking"
"TalkingDescription","The creature is talking."
"TalkingTitle","Talking"
"WaitingDescription","The creature is waiting."
"WaitingTitle","Waiting"
"WatchingDescription","The creature is looking out for enemies."
"WatchingTitle","Watching"
