"context","source","target"
"ChaoticEvilDescription","Chaotic evil (CE) creatures act with arbitrary violence, spurred by their greed, hatred, or bloodlust. Demons, red dragons, and orcs are chaotic evil."
"ChaoticEvilTitle","Chaotic Evil"
"ChaoticEvilTitleShort","CE"
"ChaoticGoodDescription","Chaotic good (CG) creatures act as their conscience directs, with little regard for what others expect. Copper dragons, many elves, and unicorns are chaotic good."
"ChaoticGoodTitle","Chaotic Good"
"ChaoticGoodTitleShort","CG"
"ChaoticNeutralDescription","Chaotic neutral (CN) creatures follow their whims, holding their personal freedom above all else. Many barbarians and rogues, and some bards, are chaotic neutral."
"ChaoticNeutralTitle","Chaotic Neutral"
"ChaoticNeutralTitleShort","CN"
"LawfulEvilDescription","Lawful evil (LE) creatures methodically take what they want, within the limits of a code of tradition, loyalty, or order. Devils, blue dragons, and hobgoblins are lawful evil."
"LawfulEvilTitle","Lawful Evil"
"LawfulEvilTitleShort","LE"
"LawfulGoodDescription","Lawful good (LG) creatures can be counted on to do the right thing as expected by society. Gold dragons, paladins, and most dwarves are lawful good."
"LawfulGoodTitle","Lawful Good"
"LawfulGoodTitleShort","LG"
"LawfulNeutralDescription","Lawful neutral (LN) individuals act in accordance with law, tradition, or personal codes. Many monks and some wizards are lawful neutral."
"LawfulNeutralTitle","Lawful Neutral"
"LawfulNeutralTitleShort","LN"
"NeutralDescription","Neutral (N) is the alignment of those who prefer to steer clear of moral questions and don't take sides, doing what seems best at the time. Lizardfolk, most druids, and many humans are neutral."
"NeutralEvilDescription","Neutral evil (NE) is the alignment of those who do whatever they can get away with, without compassion or qualms. Many drow, some cloud giants, and yugoloths are neutral evil."
"NeutralEvilTitle","Neutral Evil"
"NeutralEvilTitleShort","NE"
"NeutralGoodDescription","Neutral good (NG) folk do the best they can to help others according to their needs. Many celestials, some cloud giants, and most gnomes are neutral good"
"NeutralGoodTitle","Neutral Good"
"NeutralGoodTitleShort","NG"
"NeutralTitle","Neutral"
"NeutralTitleShort","N"
"UnalignedDescription","Most creatures that lack the capacity for rational thought do not have alignments… they are unaligned. Such a creature is incapable of making a moral or ethical choice and acts according to its bestial nature. Sharks are savage predators, for example, but they are not evil; they have no alignment."
"UnalignedTitle","Unaligned"
"UnalignedTitleShort","UN"
