"context","source","target"
"AllianceDescription","The faction will actively help you."
"AllianceTitle","Alliance"
"AnimosityDescription","This faction will try to thwart you."
"AnimosityTitle","Animosity"
"AttacksOnSightDescription","Attacks on sight. "
"BrotherhoodDescription","You are important and influential in the faction."
"BrotherhoodTitle","Brotherhood"
"HatredDescription","The faction will try to kill you."
"HatredTitle","Hatred"
"IndifferenceDescription","The faction does not care about you."
"IndifferenceTitle","Indifference"
"JoinsAllyInBattleDescription","Joins you in battle. "
"JoinsEnemiesDescription","Joins your enemies in battle. "
"LivingLegendDescription","You are a key member of the faction, and a part of their history."
"LivingLegendTitle","Living Legend"
"MerchantOverchargeFormat","Merchant overcharge: {0}%."
"MerchantOverchargeFormatTrade","{0}: overcharge {1}%"
"MerchantRebateFormat","Merchant rebate: {0}%."
"MerchantRebateFormatTrade","{0}: rebate {1}%"
"SympathyDescription","The faction will show you favor."
"SympathyTitle","Sympathy"
