"context","source","target"
"Cynical1_Trap_Detected_Self","Wait! A trap!"
"Cynical2_Trap_Detected_Self","Hold it! A trap!"
"Cynical3_Trap_Detected_Self","I see a trap."
"Cynical1_Secret_door_Detected_Self","Look! A secret door!"
"Cynical2_Secret_door_Detected_Self","There's a door, here."
"Cynical3_Secret_door_Detected_Self","I see a hidden door."
"Cynical1_Trap_Trigerred_Self","How did I miss that?"
"Cynical2_Trap_Trigerred_Self","It was just waiting for me!"
"Cynical3_Trap_Trigerred_Self","I'm smarter than that!"
"Cynical1_Trap_Disarmed_Self","Too easy!"
"Cynical2_Trap_Disarmed_Self","I just needed one hand."
"Cynical3_Trap_Disarmed_Self","Piece of cake."
"Cynical1_Light_up_Self","Let there be light!"
"Cynical2_Light_up_Self","That's better."
"Cynical3_Light_up_Self","A bit of light won't hurt."
"Cynical1_Break_Stealth_Self","Damn it!"
"Cynical2_Break_Stealth_Self","That's on me."
"Cynical3_Break_Stealth_Self","What went wrong there?"
"Cynical1_Critical_Hit_Given_Self","How does that feel?"
"Cynical2_Critical_Hit_Given_Self","Well deserved!"
"Cynical3_Critical_Hit_Given_Self","Take that!"
"Cynical1_Normal_Hit_Given_Self","Got you!"
"Cynical2_Normal_Hit_Given_Self","You like it?"
"Cynical3_Normal_Hit_Given_Self","Too slow!"
"Cynical4_Normal_Hit_Given_Self","That must have hurt."
"Cynical5_Normal_Hit_Given_Self","Touché!"
"Cynical1_Missed_Attack_Self","Damn it!"
"Cynical2_Missed_Attack_Self","What?"
"Cynical3_Missed_Attack_Self","I was sure…"
"Cynical4_Missed_Attack_Self","How did I miss?"
"Cynical5_Missed_Attack_Self","You're just lucky!"
"Cynical1_Kill_Enemy_Self","And the winner is - me!"
"Cynical2_Kill_Enemy_Self","You lose!"
"Cynical3_Kill_Enemy_Self","Another victory!"
"Cynical4_Kill_Enemy_Self","You never stood a chance!"
"Cynical5_Kill_Enemy_Self","Another one bites the dust!"
"Cynical1_Healed_by_ally_Self","I owe you one!"
"Cynical2_Healed_by_ally_Self","I kind of liked that."
"Cynical3_Healed_by_ally_Self","Thanks, I feel better."
"Cynical1_Allied_KnockedDown_Self","No!"
"Cynical2_Allied_KnockedDown_Self","Hold on!"
"Cynical3_Allied_KnockedDown_Self","We need you!"
"Cynical1_Trap_Trigerred_Other","Looks like you found something."
"Cynical2_Trap_Trigerred_Other","Really? You didn't see that?"
"Cynical3_Trap_Trigerred_Other","Only a fool would… oh, wait."
"Cynical1_Trap_Disarmed_Other","This was clearly broken already."
"Cynical2_Trap_Disarmed_Other","Just lucky, I guess."
"Cynical3_Trap_Disarmed_Other","Well! You're not completely useless after all!"
"Cynical1_Long_Jump_Other","You're not too rusty."
"Cynical2_Long_Jump_Other","Easy on your ankles!"
"Cynical3_Long_Jump_Other","Artistic note - not great."
